Iid1,f.3811,f.3IIH6,f.A171,f.A3G313,f.A509,f.A556,f.A619,f.A632,f.AH83,f.B100,f.B14,f.B164,f.B2,f.B37,f.B64,f.B70,f.B73,f.B841,f.B85,f.B93,f.B96,f.BSSS,f.C103,f.C49,f.CG102,f.CG110,f.CG120,f.CG123,f.CG124,f.CG65,f.CGR01,f.CI18722,f.CI540,f.CM105,f.CM37,f.CM7,f.CMV3,f.CO255,f.EP1,f.F115,f.F72,f.FE,f.H93,f.H99,f.I159,f.I205,f.Ill.Hy,f.L317,f.LH1,f.LH123HT,f.LH132,f.LH145,f.LH162,f.LH185,f.LH195,f.LH198,f.LH210,f.LH38,f.LH51,f.LH59,f.LH82,f.M14,f.MinnesotaNo13,f.Mo17,f.Mt42,f.ND246,f.Oh40B,f.Oh43,f.OS420,f.Os426,f.PH207,f.PHB09,f.PHB47,f.PHG29,f.PHG35,f.PHG39,f.PHG47,f.PHG50,f.PHG83,f.PHG84,f.PHG86,f.PHHV4,f.PHJ40,f.PHJ65,f.PHJ89,f.PHK05,f.PHK29,f.PHK56,f.PHK76,f.PHM49,f.PHM57,f.PHN37,f.PHN47,f.PHN66,f.PHN82,f.PHP38,f.PHP60,f.PHR03,f.PHR25,f.PHR47,f.PHR55,f.PHR63,f.PHRE1,f.PHT77,f.PHV63,f.PHW03,f.PHW30,f.PHW52,f.PHW53,f.PHZ51,f.Q381,f.T8,f.Tr,f.Va17,f.W117,f.W153R,f.WD456,f.Wf9
3811,0.995106063356752,0.295704753946249,0.250639312993467,0.208868439345641,0.243920572158157,0.256035209594085,0.257041162963431,0.264728002677614,0.942402938376423,0.245451507690251,0.282027118291359,0.31439454569452,0.303545799599366,0.301985849422836,0.24459133404614,0.258750326013598,0.289940409348894,0.281360055322441,0.246698751819635,0.246112592483294,0.195947148011119,0.266989893111585,0.240473095437699,0.22862330536115,0.244020165791676,0.270391173280658,0.265495391456833,0.261756821692022,0.257074641509037,0.280326156572022,0.25783050706186,0.2716629776621,0.262881538889691,0.246750610855089,0.240855621672535,0.242147897051167,0.235801731978059,0.206312542374256,0.177851202029075,0.257640248548039,0.202506515831353,0.292912324413025,0.295189619085771,0.264973047507696,0.275431906138725,0.338439894906274,0.31770101134761,0.221534741082721,0.304586913619156,0.250901002483897,0.302610155644923,0.245499273667321,0.224120605003798,0.254258835092592,0.304596813219767,0.276049324669234,0.252048363437127,0.269640055466366,0.238565954638503,0.25527317473872,0.299170279299806,0.294231494451505,0.264177263106228,0.247924477083241,0.225839155130828,0.231514384780548,0.240903649616752,0.252881929586829,0.301521801008675,0.278464895206086,0.300571161693399,0.290052204660929,0.275463429677237,0.291443706158372,0.283541018351861,0.273115737633286,0.283252772239045,0.200870921809084,0.282482633042502,0.28180874989441,0.274402238799575,0.285927997385402,0.264511657275602,0.269579278612804,0.298782740031216,0.216640760699042,0.264819278973073,0.275724556247336,0.247253591105558,0.30561567429524,0.250180614224205,0.256613680598784,0.276735762271928,0.265471969882302,0.270958558463272,0.271366750822369,0.220136777412025,0.284059382397208,0.280546003110279,0.268591590201515,0.271804301568638,0.301139962259311,0.254638442604531,0.287191311844258,0.257407441529874,0.276959045762102,0.295735957513999,0.284653729276635,0.306970254114447,0.278960435304314,0.291153763677533,0.242556688463994,0.302650236142987,0.264387665514885,0.249370622265103,0.252427219754706,0.285372238124109,0.288664742497211
3IIH6,0.295704753946249,0.962582819225739,0.268800954250373,0.2283008551821,0.292502274987365,0.276290152351231,0.297899003607053,0.272828491845112,0.296453796467262,0.276657419831768,0.271745826792982,0.273499063557307,0.288566288016658,0.265836853509344,0.247038672021951,0.264943069622896,0.280913555854498,0.292956814612158,0.262822948582245,0.275283991690277,0.19817394388073,0.274423722958272,0.255836497291077,0.295344639452514,0.265683055497475,0.288361525270975,0.332215769439426,0.337888300970162,0.291278004093093,0.367584330039247,0.397234158277991,0.338529332677308,0.250771691030968,0.267847899702598,0.233547285975285,0.232980061491211,0.258896339655052,0.208543226863279,0.183251237330266,0.260621151319881,0.197044950580482,0.28882971999274,0.276314006100238,0.272325625224676,0.313157880568746,0.445193591192354,0.303033056199414,0.264721550013149,0.388729479000841,0.38769221128635,0.268937515679756,0.268215621703267,0.268750764482893,0.305057181732443,0.330817774389724,0.279575911189155,0.272308144266303,0.339985541961837,0.294065741514203,0.286837376637293,0.450936300441261,0.286585279613577,0.252960980431798,0.300909413103181,0.256986339087453,0.274513538703684,0.24459699510389,0.300703792189258,0.307531473322595,0.292264780611481,0.656446325715737,0.266143097858675,0.278307837581221,0.710100876863661,0.418223472445033,0.278830464892281,0.570222076672663,0.210785837751367,0.493613002759028,0.302687968445516,0.271717767781876,0.270838850887604,0.265865630909487,0.278654174790041,0.387280895289946,0.237350455126983,0.253688808843731,0.558776146750774,0.324053865854039,0.427349350471904,0.258892895096103,0.340446735837429,0.488628618986754,0.267042752947119,0.579516792288107,0.27728266029241,0.234410123031297,0.432386717693975,0.55608870233464,0.282021271336777,0.308453550611808,0.431706964294766,0.269717632924422,0.311294625685118,0.260289682529555,0.287872656539367,0.512867886169917,0.280727690401364,0.485091618440718,0.274838805861584,0.666211948435113,0.265058539131142,0.305909907141841,0.310879450546549,0.244009603428446,0.286226917114283,0.276542944942889,0.309950789371579
A171,0.250639312993467,0.268800954250373,0.977410767837518,0.213078810516023,0.291232436548124,0.253070221207569,0.360692210217562,0.251026211369654,0.24843176861881,0.241440043277619,0.235363359672388,0.242191960781097,0.256323227495956,0.257887445217154,0.213518029103947,0.235433757994472,0.233824976856462,0.233614343384224,0.249056274050034,0.242375719561946,0.170634662282623,0.233531143854454,0.236918261632643,0.243944575670598,0.254846324233126,0.247770897773527,0.259438167589043,0.256209053084821,0.285299028528449,0.250266481444832,0.260671373417244,0.245249767788707,0.229458210348395,0.251595818756343,0.252065092250262,0.250628009895546,0.253126363477193,0.223505777618392,0.205966276956795,0.250604674850998,0.211280394165335,0.266272611848818,0.257892995497508,0.246411617284297,0.251798402562943,0.274060425397296,0.252489912629326,0.225945291762311,0.261412330614658,0.240649287123969,0.249655744265172,0.251952445426139,0.236270569018545,0.239526584363328,0.254409005976757,0.231658086359867,0.228814251360442,0.315683248620987,0.223939657971965,0.233921347961264,0.258101605974809,0.26120919054388,0.236200769750192,0.228632004477103,0.26307949048955,0.251469865807819,0.229075259546114,0.257972230812991,0.24768839333626,0.255117232970288,0.268260538371603,0.264100108313859,0.258073429530155,0.265714995045521,0.262368155548215,0.246788850451531,0.273400016679177,0.214202500289001,0.254730296083504,0.253189010234184,0.223538611943518,0.242945926002365,0.248612859708801,0.237702437704051,0.272192400904922,0.242607939887807,0.258766868454461,0.280123741546434,0.242533091452299,0.257380664303575,0.245157042829189,0.238465135322035,0.259141025528334,0.267537052148335,0.261938410567137,0.256990912815139,0.204418176633575,0.275389759856171,0.287803405452721,0.239656514838445,0.249585796659705,0.255504944823405,0.232660087400912,0.263715242916839,0.238116080976652,0.273095974090025,0.250966433889855,0.248833517822231,0.28557905904725,0.259404778426057,0.271148613013561,0.252757663022099,0.26078349915971,0.264667458313952,0.231741060531329,0.247098264555797,0.247182506724321,0.254060592999218
A3G313,0.208868439345641,0.2283008551821,0.213078810516023,0.947977172321632,0.205119770771082,0.204510004914256,0.209656918619677,0.215455658409933,0.203902688997011,0.204886756461309,0.210860025326014,0.208112731163281,0.228072937583428,0.204807748881332,0.243066885885593,0.209262111307933,0.208683203849803,0.21656966348094,0.20024091554321,0.197865381288552,0.304572998456796,0.20866970231978,0.206837930562309,0.201802067155277,0.206601745546721,0.199963844635099,0.217266111461641,0.204940196332995,0.20052887211339,0.211571483406172,0.202818636612513,0.21393895135481,0.215176944858458,0.213131597609318,0.207012172471319,0.205825796955314,0.217650230418696,0.194014263115588,0.197070733662853,0.206532563398798,0.192358751032231,0.217360241344789,0.213357202194977,0.198495546351208,0.21347239785009,0.252346705507054,0.213926723051683,0.201497340884169,0.210077981600622,0.216049662022063,0.199378803056948,0.217882656609846,0.211065853531546,0.204359108984902,0.200793335317678,0.212907470689528,0.210178776194238,0.210375590067449,0.215322212535386,0.201504070729844,0.233065951057493,0.201753120186568,0.20745430978214,0.212594587303461,0.20996251684677,0.220379557723918,0.201641950077433,0.211738379775395,0.199030966312044,0.213164174721692,0.211158805275691,0.207978356280014,0.211014215100005,0.21854391969269,0.208534368950544,0.213321726803604,0.226009990516048,0.184051360116882,0.199051680258803,0.194848813900429,0.230527359131878,0.210890294655208,0.225979873327483,0.216077010726603,0.205895141228096,0.198318671458422,0.198229266492711,0.22574328181115,0.226271770815416,0.20692573519877,0.207319637749205,0.220928829613665,0.220532598836154,0.210868088779398,0.210711469034283,0.210958671408672,0.23891425351057,0.215854990479096,0.206936512460639,0.205906079188506,0.198968460760575,0.207254480196381,0.220975145024918,0.206526374603238,0.210352319207229,0.221545928648852,0.208149302442629,0.21397772059082,0.221282653567795,0.192837233788652,0.212595157355383,0.209626156259754,0.225514480370506,0.214957694045855,0.209340148515955,0.214453426305306,0.207986861416663,0.217382993025109
A509,0.243920572158157,0.292502274987365,0.291232436548124,0.205119770771082,0.98780682424285,0.257404204737973,0.256889506330927,0.266445890042026,0.242176667795157,0.22902450115303,0.263987105861014,0.266534856652547,0.268223192601362,0.25877579483048,0.238096432489743,0.231794358722053,0.261236227835568,0.249432460299559,0.235952017918576,0.229652663664646,0.18991999901778,0.242929497191535,0.235736441777624,0.370697968379069,0.283156804782352,0.284400575350981,0.287892356849179,0.262544702387768,0.273862728632992,0.261818658775599,0.26395732766079,0.255021972016645,0.245949045109685,0.318943245295877,0.233333112856204,0.233644733950482,0.355216545809256,0.198876534539363,0.185540888674795,0.263569850674771,0.198145177891135,0.268337905209975,0.262467186736842,0.225671274601905,0.278742907959784,0.281037539057305,0.272909341753029,0.220509577106216,0.251178087655193,0.256042810444867,0.25089615300132,0.310075039771367,0.254761157334837,0.245536248119337,0.240193292178963,0.247956113300907,0.244006037156994,0.263278988694,0.252022918392219,0.256569458547511,0.244728770759584,0.261843693991685,0.24100496101307,0.254547823366417,0.25400511539397,0.265092080910197,0.20149988876428,0.248024367866428,0.263054143860612,0.279038091209882,0.33644465137007,0.261256235754716,0.246818421360146,0.321022233215482,0.260525444404016,0.243938193371174,0.268456066181052,0.199250074968246,0.321838419675417,0.263718721707429,0.247614172005411,0.257813704080169,0.263384216760658,0.244014677793893,0.258773942042871,0.405317002460498,0.254467119893857,0.254998506226243,0.253640871708452,0.257116933751508,0.244841375269595,0.251967119389891,0.26896446739234,0.308602172989624,0.324096615944718,0.244344209168385,0.21894180642587,0.249395095511738,0.386596987976102,0.221356759842292,0.275533874116949,0.253924391477512,0.259733034671895,0.254963965073426,0.255455985493269,0.267086660732903,0.292194786412946,0.24861432786588,0.277233513639124,0.280587913099417,0.332174394795129,0.251438880466785,0.260244179644354,0.253034660237092,0.248583440940816,0.258571708159721,0.287221062468992,0.260981635230083
A556,0.256035209594085,0.276290152351231,0.253070221207569,0.204510004914256,0.257404204737973,0.979568976333981,0.333396168205874,0.266462579393684,0.254403095313286,0.264448012095728,0.252855660605322,0.503245300840923,0.300805308975426,0.256115792780461,0.232221727932107,0.219179468631886,0.26453086075117,0.270939509505532,0.225674710127504,0.267591384895342,0.177696701317671,0.260152961352511,0.218875093235106,0.259651115025174,0.26875068698626,0.26301447271593,0.267285353067454,0.282407745145519,0.318695482378355,0.267576117583133,0.280323336265096,0.292826362579944,0.248015097272234,0.27044012738096,0.233479962320243,0.233807776882815,0.243376050384139,0.215571855816006,0.181949809741867,0.276894308022329,0.194238003978531,0.300088064796938,0.257976948598836,0.280387299989414,0.275131400343778,0.289174319945743,0.259328092417004,0.216408109149583,0.261422265873228,0.291421770332179,0.252052035731581,0.273649222555486,0.225031871750378,0.287154027405708,0.246150459335193,0.256344995492016,0.234445027419868,0.348229198314691,0.258659636885883,0.276312362030557,0.26349107843733,0.243246985208854,0.258447618933912,0.253197862917086,0.242362849890976,0.232609058007331,0.203130511591467,0.345468725920774,0.282380853813747,0.287276205840293,0.26269302476328,0.255583134172057,0.258870236601919,0.268412980430109,0.287504496658948,0.235663563563273,0.305823610123935,0.196736006210411,0.27430913443936,0.249038770270566,0.254774343648492,0.265855786459854,0.237952523143376,0.238484216134219,0.305546407519091,0.2465862771046,0.243441273547609,0.275499912049404,0.28368231420747,0.256509538435871,0.253893710417739,0.277377302699305,0.240370417628349,0.253463610283378,0.266911587755702,0.242518440785081,0.22205237057409,0.251235748953918,0.255488739469125,0.253797451992091,0.244495917148351,0.267737169374972,0.242276567136254,0.312262455465252,0.240161952635526,0.312102213822268,0.253621984400131,0.247777169295555,0.2677311526885,0.268133368298039,0.267133304672828,0.261370712069914,0.328237404647144,0.287151384913143,0.262279969609301,0.322770465503963,0.282330307466666,0.287432835569636
A619,0.257041162963431,0.297899003607053,0.360692210217562,0.209656918619677,0.256889506330927,0.333396168205874,0.962752034788689,0.236015573240391,0.251557570601991,0.423577173792832,0.243360124112827,0.234362023771159,0.252585153139072,0.276871835900417,0.223390029978056,0.29272393913071,0.262598173638458,0.262210137535624,0.304098558362174,0.354703584658028,0.178253878814899,0.230644056700272,0.258625220298206,0.24570914596097,0.265817424200029,0.266695057883177,0.277955481308731,0.291828400872622,0.525090379426446,0.359837485585198,0.289926699100944,0.273453881118308,0.239477441513557,0.262692457563994,0.24066391734729,0.240426742466729,0.260518740707512,0.21717507003328,0.183200490347729,0.246858015483633,0.19940800074558,0.276439606272678,0.289953308021671,0.411915992930588,0.247612619695547,0.275441325070033,0.255264876893679,0.255428119510588,0.29227880464948,0.458451869267672,0.27628846263936,0.254867029146535,0.223872406108283,0.418738972443023,0.285303278481856,0.265155396135081,0.252257382316931,0.849573041284383,0.264360772756795,0.324455891287791,0.233741680812481,0.313513845902241,0.251569584006478,0.248414333302625,0.226205564443125,0.260091243128801,0.502042247859245,0.882836289832114,0.244065482304605,0.263056379852432,0.240546690139329,0.352528385381283,0.278936578702669,0.255157425196627,0.240301149901321,0.256280460289457,0.392281849554011,0.213243243157921,0.26326093197843,0.259733058443868,0.24114705180347,0.236787044142885,0.276163517622508,0.271987382848244,0.426790177079788,0.233953175305596,0.2618289063979,0.306924885303176,0.353247276957529,0.30848051230862,0.25893271362702,0.401267594650214,0.229169569620821,0.259089633849878,0.2539621256818,0.257950534608291,0.218562470865307,0.314844818725524,0.245516966671697,0.378927107663195,0.258896331097141,0.386511301897912,0.280797555755804,0.385641431190405,0.26210867970395,0.270558131932452,0.322007708456045,0.264310314366016,0.271657677462907,0.26484795367829,0.246909530776351,0.254907482389142,0.273478492717829,0.262597230841993,0.241942478199018,0.369042879436839,0.252017512645463,0.256467900873549
A632,0.264728002677614,0.272828491845112,0.251026211369654,0.215455658409933,0.266445890042026,0.266462579393684,0.236015573240391,0.944620074742355,0.274579255373323,0.232651509522024,0.842028879052904,0.302112305861757,0.270364339477062,0.340448528244225,0.638651085213217,0.241156766458127,0.440548569456459,0.469344948666934,0.248749749666857,0.232372676635243,0.219756781941479,0.887040176959027,0.237473712333722,0.264903493566108,0.446286130171363,0.290046546931256,0.383274369742512,0.270116713010668,0.260616441616507,0.457024713138177,0.261571312343051,0.280559249329308,0.359555017488242,0.650966217374721,0.231405928955339,0.232633139016405,0.260018310714351,0.213304697512725,0.182671473130213,0.288907868929037,0.205745638811823,0.290393110449263,0.325958565747005,0.222925657314178,0.308489584169116,0.378969417021487,0.31891664588394,0.253291105630186,0.33624780088802,0.297068186448357,0.39574836572342,0.752836561726437,0.246168535068341,0.240867589910272,0.365887405751875,0.461856112850951,0.244511529629614,0.240917359389262,0.237035255399826,0.2345323209589,0.283506838533039,0.269674060798903,0.244671887279829,0.238994015137544,0.265887339951053,0.236459526254541,0.230958707294843,0.238899460211511,0.279709507302573,0.307046075299106,0.275488740172776,0.398727042012231,0.298841086438216,0.269193391020927,0.297240956396773,0.52960004449657,0.276402915182584,0.199652864433224,0.263719822825238,0.264800168208202,0.488141404309057,0.466900095337785,0.304204793409627,0.484896203310423,0.269046878168031,0.232430874705128,0.421119472662929,0.275713851727705,0.284554009176218,0.269427365718426,0.270328509407846,0.250781193164183,0.248190414625321,0.529508535711211,0.263633020890616,0.517128117628228,0.218614763026116,0.256024741367871,0.277235044554212,0.335184435825669,0.252326209311572,0.281654585794149,0.348321237215057,0.26500820815814,0.392426338936529,0.261786727785463,0.246409885258314,0.493627741857988,0.273131976743768,0.265110964415003,0.281572282467777,0.260662635315255,0.309114915438698,0.272651376855394,0.244598102402412,0.249514965687705,0.347026677349779,0.288318296888191
AH83,0.942402938376423,0.296453796467262,0.24843176861881,0.203902688997011,0.242176667795157,0.254403095313286,0.251557570601991,0.274579255373323,0.996996233819563,0.238733177159202,0.29371042753278,0.305889364828731,0.299533142309108,0.299150871385267,0.256434626766914,0.245458167170884,0.299404362397505,0.283571468348053,0.249790546093082,0.238807056649073,0.193006044752615,0.269369602675655,0.229397172954004,0.239407204840893,0.240147736044542,0.272254911210785,0.263224871321072,0.257616769445333,0.252320008154586,0.290438445028892,0.253333031784266,0.269025838545237,0.262027377653098,0.246407942612646,0.242350974839374,0.242473942503477,0.237303312451056,0.216350645633676,0.174247104137184,0.259961826603749,0.200906769469561,0.287962057226123,0.293050475236551,0.257992029538773,0.276111052401733,0.328459867528795,0.315263317185976,0.220610017972867,0.305957445383406,0.249018974872861,0.303135264274569,0.247487493060818,0.233453967667309,0.254277968203118,0.305102384615339,0.284164024247002,0.248167884499794,0.264760399598429,0.236005225300361,0.252194899111117,0.295849086433743,0.288578945166185,0.264174732817377,0.245435704082321,0.220643898740263,0.227675110755621,0.233643194952923,0.248723170698816,0.302862155678987,0.274576741724853,0.301264276367988,0.29919876002572,0.268513400377424,0.29121061007301,0.285859696702253,0.278478013056458,0.278439201030896,0.200336965250932,0.28575086860794,0.283350993278819,0.285237046435834,0.291391152981294,0.254071381671634,0.278345631215442,0.294223881239298,0.214967036906848,0.261596366101277,0.278502071719876,0.236629618052432,0.306121192441591,0.252710882155607,0.246668258558451,0.274345391453219,0.27621390232017,0.270461807420718,0.27779196246149,0.218254821116908,0.282349792877838,0.280915881704377,0.274227075013436,0.27147846863777,0.30324529285354,0.260793972615759,0.284264195539475,0.268077130465082,0.278987397001126,0.295092068891088,0.290625413977031,0.309255285613662,0.278509397291205,0.29158763166968,0.245018343348516,0.301427515656821,0.267191807499413,0.247182081681436,0.250762386205132,0.283466698129603,0.29022129470786
B100,0.245451507690251,0.276657419831768,0.241440043277619,0.204886756461309,0.22902450115303,0.264448012095728,0.423577173792832,0.232651509522024,0.238733177159202,0.988159995418589,0.234214040859428,0.248140741185104,0.238000466459368,0.267198261114756,0.218972637249077,0.284675464942811,0.251876532957101,0.249806577911956,0.452338882530953,0.681663588050307,0.192830314242629,0.231423022905985,0.25589634323416,0.219388361044792,0.254606099883815,0.229691323074138,0.261971452659311,0.299471894295033,0.36288159898524,0.315247778873271,0.417259278825953,0.237725129478998,0.222921695952527,0.242406805696147,0.232863119071491,0.233727359149374,0.230428943161923,0.199528090099142,0.183373448570174,0.225753241792573,0.193711315938971,0.252783827882362,0.272826432716774,0.808570004279754,0.246147543940372,0.268980131221065,0.239640372242175,0.222528356797862,0.272165547132869,0.316601056939213,0.260069000168713,0.237959867732283,0.206399760318412,0.454584441143745,0.274140324426277,0.24754300252051,0.228863803563595,0.4218105633917,0.226014337934547,0.440866447334142,0.239860764109502,0.311571384704938,0.236762715905288,0.223841174965045,0.215058947913997,0.220667545673102,0.393429845694371,0.453378003983932,0.247933639752676,0.242331171359198,0.259841286058133,0.268883946488535,0.265235000391591,0.256065373375718,0.245709669895265,0.247940108582083,0.303176582817008,0.213120346334299,0.247934723279225,0.253842971517673,0.235156874409511,0.243433949402598,0.260963493886288,0.249345276111604,0.325833467163204,0.230186096763943,0.244616990661612,0.251119835385208,0.286813077401504,0.263707095786109,0.231158252092361,0.258209369560152,0.233230403192409,0.232167226404088,0.242428476702555,0.244886264837881,0.20871883661164,0.292660596805776,0.245212540402894,0.28704164445049,0.248644765500646,0.296698708174292,0.250357565662745,0.303574961154599,0.257192776806383,0.241929573345528,0.297050305169951,0.247950936715975,0.277255221254372,0.246696448315411,0.258972487942066,0.249320762928054,0.244621879130226,0.245958754534509,0.219040898946189,0.266870252097442,0.233251634892749,0.224723329602097
