Iid1,Iid2,f
3811,3811,0.995106063356752
3811,3IIH6,0.295704753946249
3811,A171,0.250639312993467
3811,A3G313,0.208868439345641
3811,A509,0.243920572158157
3811,A556,0.256035209594085
3811,A619,0.257041162963431
3811,A632,0.264728002677614
3811,AH83,0.942402938376423
3811,B100,0.245451507690251
3811,B14,0.282027118291359
3811,B164,0.31439454569452
3811,B2,0.303545799599366
3811,B37,0.301985849422836
3811,B64,0.24459133404614
3811,B70,0.258750326013598
3811,B73,0.289940409348894
3811,B841,0.281360055322441
3811,B85,0.246698751819635
3811,B93,0.246112592483294
3811,B96,0.195947148011119
3811,BSSS,0.266989893111585
3811,C103,0.240473095437699
3811,C49,0.22862330536115
3811,CG102,0.244020165791676
3811,CG110,0.270391173280658
3811,CG120,0.265495391456833
3811,CG123,0.261756821692022
3811,CG124,0.257074641509037
3811,CG65,0.280326156572022
3811,CGR01,0.25783050706186
3811,CI18722,0.2716629776621
3811,CI540,0.262881538889691
3811,CM105,0.246750610855089
3811,CM37,0.240855621672535
3811,CM7,0.242147897051167
3811,CMV3,0.235801731978059
3811,CO255,0.206312542374256
3811,EP1,0.177851202029075
3811,F115,0.257640248548039
3811,F72,0.202506515831353
3811,FE,0.292912324413025
3811,H93,0.295189619085771
3811,H99,0.264973047507696
3811,I159,0.275431906138725
3811,I205,0.338439894906274
3811,Ill.Hy,0.31770101134761
3811,L317,0.221534741082721
3811,LH1,0.304586913619156
3811,LH123HT,0.250901002483897
3811,LH132,0.302610155644923
3811,LH145,0.245499273667321
3811,LH162,0.224120605003798
3811,LH185,0.254258835092592
3811,LH195,0.304596813219767
3811,LH198,0.276049324669234
3811,LH210,0.252048363437127
3811,LH38,0.269640055466366
3811,LH51,0.238565954638503
3811,LH59,0.25527317473872
3811,LH82,0.299170279299806
3811,M14,0.294231494451505
3811,MinnesotaNo13,0.264177263106228
3811,Mo17,0.247924477083241
3811,Mt42,0.225839155130828
3811,ND246,0.231514384780548
3811,Oh40B,0.240903649616752
3811,Oh43,0.252881929586829
3811,OS420,0.301521801008675
3811,Os426,0.278464895206086
3811,PH207,0.300571161693399
3811,PHB09,0.290052204660929
3811,PHB47,0.275463429677237
3811,PHG29,0.291443706158372
3811,PHG35,0.283541018351861
3811,PHG39,0.273115737633286
3811,PHG47,0.283252772239045
3811,PHG50,0.200870921809084
3811,PHG83,0.282482633042502
3811,PHG84,0.28180874989441
3811,PHG86,0.274402238799575
3811,PHHV4,0.285927997385402
3811,PHJ40,0.264511657275602
3811,PHJ65,0.269579278612804
3811,PHJ89,0.298782740031216
3811,PHK05,0.216640760699042
3811,PHK29,0.264819278973073
3811,PHK56,0.275724556247336
3811,PHK76,0.247253591105558
3811,PHM49,0.30561567429524
3811,PHM57,0.250180614224205
3811,PHN37,0.256613680598784
3811,PHN47,0.276735762271928
3811,PHN66,0.265471969882302
3811,PHN82,0.270958558463272
3811,PHP38,0.271366750822369
3811,PHP60,0.220136777412025
3811,PHR03,0.284059382397208
3811,PHR25,0.280546003110279
3811,PHR47,0.268591590201515
3811,PHR55,0.271804301568638
3811,PHR63,0.301139962259311
3811,PHRE1,0.254638442604531
3811,PHT77,0.287191311844258
3811,PHV63,0.257407441529874
3811,PHW03,0.276959045762102
3811,PHW30,0.295735957513999
3811,PHW52,0.284653729276635
3811,PHW53,0.306970254114447
3811,PHZ51,0.278960435304314
3811,Q381,0.291153763677533
3811,T8,0.242556688463994
3811,Tr,0.302650236142987
3811,Va17,0.264387665514885
3811,W117,0.249370622265103
3811,W153R,0.252427219754706
3811,WD456,0.285372238124109
3811,Wf9,0.288664742497211
3IIH6,3811,0.295704753946249
3IIH6,3IIH6,0.962582819225739
3IIH6,A171,0.268800954250373
3IIH6,A3G313,0.2283008551821
3IIH6,A509,0.292502274987365
3IIH6,A556,0.276290152351231
3IIH6,A619,0.297899003607053
3IIH6,A632,0.272828491845112
3IIH6,AH83,0.296453796467262
3IIH6,B100,0.276657419831768
3IIH6,B14,0.271745826792982
3IIH6,B164,0.273499063557307
3IIH6,B2,0.288566288016658
3IIH6,B37,0.265836853509344
3IIH6,B64,0.247038672021951
3IIH6,B70,0.264943069622896
3IIH6,B73,0.280913555854498
3IIH6,B841,0.292956814612158
3IIH6,B85,0.262822948582245
