,Inbred,HG,<0.5 Mb,0.5-2.5 Mb,2.5-5 Mb,>5 Mb,Marginal,0.5P,0.5-2.5P,2.5-5P,5P
1,3IIH6,NSS,4,36,29,75,144,0.0277777777777778,0.25,0.201388888888889,0.520833333333333
2,B14,SS,3,20,11,45,79,0.0379746835443038,0.253164556962025,0.139240506329114,0.569620253164557
3,CG120,SS,2,44,23,78,147,0.0136054421768707,0.299319727891156,0.156462585034014,0.530612244897959
4,CG123,NSS,12,120,67,137,336,0.0357142857142857,0.357142857142857,0.199404761904762,0.407738095238095
5,CG124,NSS,13,95,58,183,349,0.0372492836676218,0.272206303724928,0.166189111747851,0.524355300859599
6,LH123HT,NSS,1,22,14,57,94,0.0106382978723404,0.234042553191489,0.148936170212766,0.606382978723404
7,LH145,SS,2,57,32,75,166,0.0120481927710843,0.343373493975904,0.192771084337349,0.451807228915663
8,LH185,NSS,2,46,21,93,162,0.0123456790123457,0.283950617283951,0.12962962962963,0.574074074074074
9,LH195,SS,1,36,17,53,107,0.00934579439252336,0.336448598130841,0.158878504672897,0.495327102803738
10,LH198,SS,9,62,40,112,223,0.0403587443946188,0.278026905829596,0.179372197309417,0.502242152466368
11,LH210,NSS,8,90,50,148,296,0.027027027027027,0.304054054054054,0.168918918918919,0.5
12,LH51,NSS,3,32,15,45,95,0.0315789473684211,0.336842105263158,0.157894736842105,0.473684210526316
13,PHB47,SS,1,29,26,69,125,0.008,0.232,0.208,0.552
14,PHJ89,NSS,8,62,28,82,180,0.0444444444444444,0.344444444444444,0.155555555555556,0.455555555555556
15,PHK56,NSS,1,31,13,69,114,0.0087719298245614,0.271929824561404,0.114035087719298,0.605263157894737
16,PHN37,NSS,1,45,34,60,140,0.00714285714285714,0.321428571428571,0.242857142857143,0.428571428571429
17,PHN47,NSS,8,48,31,69,156,0.0512820512820513,0.307692307692308,0.198717948717949,0.442307692307692
18,PHN66,SS,2,34,17,42,95,0.0210526315789474,0.357894736842105,0.178947368421053,0.442105263157895
19,PHN82,NSS,2,39,19,66,126,0.0158730158730159,0.30952380952381,0.150793650793651,0.523809523809524
20,PHP38,SS,4,85,45,151,285,0.0140350877192982,0.298245614035088,0.157894736842105,0.529824561403509
21,PHR03,NSS,12,49,32,102,195,0.0615384615384615,0.251282051282051,0.164102564102564,0.523076923076923
22,PHR25,NSS,3,30,15,52,100,0.03,0.3,0.15,0.52
23,PHR55,NSS,2,51,32,66,151,0.0132450331125828,0.337748344370861,0.211920529801325,0.437086092715232
24,PHR63,NSS,2,37,13,69,121,0.0165289256198347,0.305785123966942,0.107438016528926,0.570247933884298
25,PHRE1,SS,3,50,37,68,158,0.0189873417721519,0.316455696202532,0.234177215189873,0.430379746835443
26,PHW30,NSS,1,55,27,79,162,0.00617283950617284,0.339506172839506,0.166666666666667,0.487654320987654
27,PHW52,SS,1,19,12,36,68,0.0147058823529412,0.279411764705882,0.176470588235294,0.529411764705882
28,PHW53,NSS,9,135,62,191,397,0.0226700251889169,0.340050377833753,0.156171284634761,0.481108312342569
29,PHZ51,NSS,1,36,26,70,133,0.0075187969924812,0.270676691729323,0.195488721804511,0.526315789473684
30,z_All,z_All,121,1495,846,2442,4904,0.657633479667939,8.73264730490854,4.96832417369839,14.6413950417251
