fid1	iid1	fid2	iid2	chr	start_bp	end_bp	start_snp	end_snp	tot_snp	tract_len	unit	num_mismat	iid1_is_homoz	iid2_is_homoz
-9	B93	-9	B93	1	56125	1023228	S1_10097	S1_992927	12	0.967	MB	0	1	1
-9	B2	-9	B2	1	56125	1023235	S1_10097	S1_992934	14	0.967	MB	0	1	1
-9	ND246	-9	ND246	1	56125	1023235	S1_10097	S1_992934	14	0.967	MB	0	1	1
-9	PHK76	-9	PHK76	1	56125	1228056	S1_10097	S1_1195312	18	1.172	MB	0	1	1
-9	CG123	-9	CG123	1	56125	1228056	S1_10097	S1_1195312	18	1.172	MB	0	1	1
-9	CG120	-9	CG120	1	56125	1836548	S1_10097	S1_1782554	29	1.780	MB	0	1	1
-9	LH162	-9	LH162	1	56125	2032650	S1_10097	S1_1968676	38	1.977	MB	0	1	1
-9	CGR01	-9	CGR01	1	56125	2106449	S1_10097	S1_2039902	41	2.050	MB	0	1	1
-9	A509	-9	A509	1	56125	2387082	S1_10097	S1_2307305	59	2.331	MB	0	1	1
-9	B164	-9	B164	1	56125	2562473	S1_10097	S1_2466913	70	2.506	MB	0	1	1
-9	PHT77	-9	PHT77	1	56125	2564642	S1_10097	S1_2469082	83	2.509	MB	0	1	1
-9	PHN37	-9	PHN37	1	56125	2564642	S1_10097	S1_2469082	83	2.509	MB	0	1	1
-9	PHN47	-9	PHN47	1	56125	2635251	S1_10097	S1_2544068	94	2.579	MB	0	1	1
-9	B70	-9	B70	1	56125	2746622	S1_10097	S1_2657797	96	2.690	MB	0	1	1
-9	Q381	-9	Q381	1	56125	2746622	S1_10097	S1_2657797	96	2.690	MB	0	1	1
-9	F115	-9	F115	1	56125	2774223	S1_10097	S1_2685989	97	2.718	MB	0	1	1
-9	LH82	-9	LH82	1	56125	2774223	S1_10097	S1_2685989	97	2.718	MB	0	1	1
-9	A3G313	-9	A3G313	1	56125	2782111	S1_10097	S1_2693878	107	2.726	MB	0	1	1
-9	CG110	-9	CG110	1	56125	2782520	S1_10097	S1_2694287	115	2.726	MB	0	1	1
-9	PHRE1	-9	PHRE1	1	56125	2809911	S1_10097	S1_2784031	118	2.754	MB	0	1	1
-9	PHHV4	-9	PHHV4	1	56125	2810058	S1_10097	S1_2784178	120	2.754	MB	0	1	1
-9	PHR55	-9	PHR55	1	56125	2819626	S1_10097	S1_2793746	125	2.764	MB	0	1	1
-9	H99	-9	H99	1	56125	2819626	S1_10097	S1_2793746	125	2.764	MB	0	1	1
-9	LH145	-9	LH145	1	56125	2825140	S1_10097	S1_2799260	132	2.769	MB	0	1	1
-9	C49	-9	C49	1	56125	2827418	S1_10097	S1_2801538	133	2.771	MB	0	1	1
-9	LH162	-9	LH162	1	2106449	2829516	S1_2039902	S1_2803636	100	0.723	MB	0	1	1
-9	B841	-9	B841	1	56125	2829516	S1_10097	S1_2803636	140	2.773	MB	0	1	1
-9	CM37	-9	CM37	1	56125	2895341	S1_10097	S1_2753408	167	2.839	MB	0	1	1
-9	AH83	-9	AH83	1	56125	2935080	S1_10097	S1_2842408	175	2.879	MB	0	1	1
-9	3811	-9	3811	1	56125	2935080	S1_10097	S1_2842408	175	2.879	MB	0	1	1
-9	PHG50	-9	PHG50	1	56125	2935080	S1_10097	S1_2842408	175	2.879	MB	0	1	1
-9	PHW03	-9	PHW03	1	56125	2976714	S1_10097	S1_2875970	180	2.921	MB	0	1	1
